Month,Tweets,Retweet,Fav,Sentiment,Polarity
Jan,123,233944,622535,Neutral,0
Feb,132,393206,1018360,Neutral,0
Mar,151,735492,2077152,Neutral,0
Apr,105,496668,1348440,Neutral,0
May,88,403115,1193531,Neutral,0
Jun,84,494056,1358623,Neutral,0
Jul,105,981152,2719423,Neutral,0
Aug,111,871445,2271693,Neutral,0
Sep,91,799836,2150956,Neutral,0
Jan,71,159416,439105,Negative,-0.327848324
Feb,105,355717,914808,Negative,-0.292621155
Mar,91,571679,1614458,Negative,-0.308175539
Apr,24,137481,394172,Negative,-0.215940494
May,63,428658,1236129,Negative,-0.265249226
Jun,75,747894,1970720,Negative,-0.289606153
Jul,108,1165884,3438301,Negative,-0.269454654
Aug,72,790861,2255147,Negative,-0.283738988
Sep,49,524108,1443116,Negative,-0.239996994
Jan,244,535756,1492729,Positive,0.404473535
Feb,255,778955,2262762,Positive,0.381549537
Mar,194,1023334,3013287,Positive,0.402585406
Apr,154,724031,2160064,Positive,0.462726424
May,200,1019720,3063857,Positive,0.442314641
Jun,143,932103,2692055,Positive,0.395971824
Jul,145,1442095,4517033,Positive,0.411773845
Aug,100,837396,2596246,Positive,0.421677516
Sep,127,1022413,2988883,Positive,0.449636633
